id;login;password_hash;first_name;last_name;email;activated;lang_key;created_by
1;system;$2a$10$mE.qmcV0mFU5NcKh73TZx.z4ueI/.bDWbj0T1BYyqP481kGGarKLG;System;System;system@localhost;true;en;system
2;anonymousUser;$2a$10$j8S5d7Sr7.8VTOYNviDPOeWX8KcYILUVJBsYV83Y5NtECayypx9lO;Anonymous;User;anonymous@localhost;true;en;system
3;admin;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Administrator;Administrator;admin@localhost;true;en;system
4;eleve1;$2a$10$5eewRWKxv1n.JxRz3O3oYes4FQ8u0gQpnFodx1z8Q6WWGm1eRnVRq;AAA;ALI;ali@localhost;true;en;system
5;eleve2;$2a$10$5eewRWKxv1n.JxRz3O3oYes4FQ8u0gQpnFodx1z8Q6WWGm1eRnVRq;BBB;Badi;bbbb@localhost;true;en;system
6;eleve3;$2a$10$5eewRWKxv1n.JxRz3O3oYes4FQ8u0gQpnFodx1z8Q6WWGm1eRnVRq;CCC;Carole;cccc@localhost;true;en;system
7;eleve4;$2a$10$5eewRWKxv1n.JxRz3O3oYes4FQ8u0gQpnFodx1z8Q6WWGm1eRnVRq;DDDD;Dalida;dddd@localhost;true;en;system
8;eleve5;$2a$10$5eewRWKxv1n.JxRz3O3oYes4FQ8u0gQpnFodx1z8Q6WWGm1eRnVRq;EEEE;Elise;eeee@localhost;true;en;system
9;eleve6;$2a$10$5eewRWKxv1n.JxRz3O3oYes4FQ8u0gQpnFodx1z8Q6WWGm1eRnVRq;FFFF;Fadi;ffff@localhost;true;en;system
10;eleve7;$2a$10$5eewRWKxv1n.JxRz3O3oYes4FQ8u0gQpnFodx1z8Q6WWGm1eRnVRq;GGGG;Gad;gggg@localhost;true;en;system
11;eleve8;$2a$10$5eewRWKxv1n.JxRz3O3oYes4FQ8u0gQpnFodx1z8Q6WWGm1eRnVRq;HHH;Halim;hhhh@localhost;true;en;system
12;eleve9;$2a$10$5eewRWKxv1n.JxRz3O3oYes4FQ8u0gQpnFodx1z8Q6WWGm1eRnVRq;JIJI;Jackie;iiij@localhost;true;en;system
13;eleve10;$2a$10$5eewRWKxv1n.JxRz3O3oYes4FQ8u0gQpnFodx1z8Q6WWGm1eRnVRq;KLKL;Karin;kkkk@localhost;true;en;system
14;eleve11;$2a$10$5eewRWKxv1n.JxRz3O3oYes4FQ8u0gQpnFodx1z8Q6WWGm1eRnVRq;MNMN;Medi;mnnn@localhost;true;en;system
15;eleve12;$2a$10$5eewRWKxv1n.JxRz3O3oYes4FQ8u0gQpnFodx1z8Q6WWGm1eRnVRq;OPOP;Olivia;opo@localhost;true;en;system
16;prof1;$2a$10$5eewRWKxv1n.JxRz3O3oYes4FQ8u0gQpnFodx1z8Q6WWGm1eRnVRq;RRRR;Rafael;rrr@localhost;true;en;system
17;prof2;$2a$10$5eewRWKxv1n.JxRz3O3oYes4FQ8u0gQpnFodx1z8Q6WWGm1eRnVRq;PPPP;Paul;ppp@localhost;true;en;system
18;prof3;$2a$10$5eewRWKxv1n.JxRz3O3oYes4FQ8u0gQpnFodx1z8Q6WWGm1eRnVRq;SSSS;Sarra;ssss@localhost;true;en;system
19;prof4;$2a$10$5eewRWKxv1n.JxRz3O3oYes4FQ8u0gQpnFodx1z8Q6WWGm1eRnVRq;TTTT;Tania;tttt@localhost;true;en;system
20;prof5;$2a$10$5eewRWKxv1n.JxRz3O3oYes4FQ8u0gQpnFodx1z8Q6WWGm1eRnVRq;UUUU;Auguste;uuu@localhost;true;en;system
21;prof6;$2a$10$5eewRWKxv1n.JxRz3O3oYes4FQ8u0gQpnFodx1z8Q6WWGm1eRnVRq;VVVV;Vironique;vvvv@localhost;true;en;system
22;prof7;$2a$10$5eewRWKxv1n.JxRz3O3oYes4FQ8u0gQpnFodx1z8Q6WWGm1eRnVRq;WWWW;Will;wwww@localhost;true;en;system
23;prof8;$2a$10$5eewRWKxv1n.JxRz3O3oYes4FQ8u0gQpnFodx1z8Q6WWGm1eRnVRq;XXXX;Xavier;xxxx@localhost;true;en;system
24;prof9;$2a$10$5eewRWKxv1n.JxRz3O3oYes4FQ8u0gQpnFodx1z8Q6WWGm1eRnVRq;YYYY;Yasmine;yyyy@localhost;true;en;system
